Ay;Dolar;Euro;Altın;Petrol;Beton;Demir;Fiyat;Son Güncelleme Tarihi;Konut Tipi;Mahalle; Net M2;Oda ; Salon Sayısı;Bulunduğu Kat;Bina Yaşı;Isınma Tipi;Eşya Durumu;Banyo Sayısı;Cephe;Kira Getirisi;Kullanım Durumu;Aidat;Yakıt Tipi
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.650.000 TL;7 12 2023;Daire;Kurtuluş;95;2;1;2. Kat;5 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney;8.000 TL;Kiracılı;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.650.000 TL;8 12 2023;Daire;Mimar Sinan;180;3;1;4. Kat;12 Yaşında;Kombi;Eşyalı Değil;2;;;;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;7.150.000 TL;18 12 2023;Villa;Kardeşköy;170;4;1;4. Kat;5 Yaşında;Isı Pompası;Eşyalı Değil;2;Kuzey, Güney, Batı;;Kiracılı;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.300.000 TL;22 10 2023;Daire;Adnan Menderes;135;3;1;4. Kat;20 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;;Belirtilmemiş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.580.000 TL;8 12 2023;Daire;Yedi Eylül;130;3;1;1. Kat;3 Yaşında;Kombi;Eşyalı Değil;1;Batı;;Boş;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.250.000 TL;16 10 2023;Daire;Umurlu;95;2;1;2. Kat;12 Yaşında;Soba;Eşyalı Değil;1;;;;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.200.000 TL;1 11 2023;Daire;Cuma;55;1;1;Ara Kat;10 Yaşında;Klima;Eşyalı Değil;1;Kuzey;2.500 TL;Kiracılı;100 TL;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;5.250.000 TL;18 10 2023;Daire;Adnan Menderes;130;3;1;4. Kat;5 Yaşında;Merkezi (Pay Ölçer);Eşyalı Değil;2;Kuzey, Doğu;;Kiracılı;650 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.750.000 TL;23 12 2023;Daire;Güzelhisar;85;2;1;5. Kat;5 Yaşında;Kombi;Eşyalı Değil;1;;5.000 TL;Kiracılı;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.000.000 TL;20 12 2023;Daire;Zafer;25;1;0;3. Kat;8 Yaşında;Klima;Eşyalı;1;Kuzey;;Kiracılı;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.750 TL;17 11 2023;Müstakil Ev;Eğrikavak;85;2;1;3. Kat;35 Yaşında;Soba;Eşyalı Değil;1;Kuzey, Güney, Batı;;Boş;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.350.000 TL;22 11 2023;Daire;Umurlu;125;3;1;5. Kat;19 Yaşında;Klima;Eşyalı Değil;1;Güney, Doğu;;Boş;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;5.000.000 TL;14 10 2023;Daire;Girne;240;5;1;3. Kat;8 Yaşında;Kombi;Eşyalı Değil;2;;;Belirtilmemiş;;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.600.000 TL;18 12 2023;Daire;Kurtuluş;50;1;1;3. Kat;2 Yaşında;Kombi;Eşyalı;1;Kuzey;1.900 TL;Kiracılı;75 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.500.000 TL;30 10 2023;Daire;Zafer;50;1;1;2. Kat;Sıfır Bina;Kombi;Eşyalı Değil;1;Güney;3.500 TL;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.900.000 TL;17 11 2023;Daire;Hasanefendi - Ramazan Paşa;100;4;1;Bahçe Katı;30 Yaşında;Klima;Eşyalı Değil;2;;;Boş;;Elektrik
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.500.000 TL;13 11 2023;Müstakil Ev;Dalama;140;2;1;Bahçe Katı;40 Yaşında;Soba;Eşyalı Değil;1;Kuzey, Güney, Doğu, Batı;3.000 TL;Belirtilmemiş;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.950.000 TL;21 11 2023;Daire;Meşrutiyet;100;2;1;Yüksek Giriş;25 Yaşında;Kombi;Eşyalı Değil;1;Kuzey, Doğu;10.000 TL;Boş;100 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.200.000 TL;18 10 2023;Daire;Girne;115;3;1;2. Kat;30 Yaşında;Kombi;Eşyalı Değil;1;;;Boş;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.350.000 TL;21 12 2023;Daire;Zafer;45;1;1;En Üst Kat;5 Yaşında;Merkezi;Eşyalı;1;Kuzey, Güney, Doğu, Batı;4.000 TL;Kiracılı;50 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.000.000 TL;15 12 2023;Daire;Zafer;80;2;2;En Üst Kat;3 Yaşında;Kombi;Eşyalı;1;;12.000 TL;Kiracılı;200 TL;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;2.500.000 TL;7 10 2023;Daire;Fatih;125;3;1;4. Kat;4 Yaşında;Kombi;Eşyalı Değil;2;Güney, Batı;;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;1.050.000 TL;21 11 2023;Daire;Kurtuluş;75;2;1;Zemin;35 Yaşında;Isıtma Yok;Eşyalı Değil;1;Kuzey, Güney;;Kiracılı;;Kömür-Odun
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;4.000.000 TL;27 11 2023;Daire;Fatih;147;3;1;1. Kat;4 Yaşında;Kombi;Eşyalı Değil;2;Kuzey, Güney, Batı;;Boş;300 TL;
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;3.250.000 TL;6 12 2023;Daire;Adnan Menderes;150;3;1;7. Kat;15 Yaşında;Kombi;Eşyalı Değil;1;;;Mülk Sahibi;;Doğalgaz
1;29,3957;32,7061;1966,77;80,19;1900;21939,81;8.000.000 TL;25 11 2023;Daire;Kemer;200;4;2;3. Kat;5 Yaşında;Kombi;Eşyalı Değil;3;Kuzey, Güney;3.000 TL;Mülk Sahibi;;Doğalgaz
